fid,id,Assets_Threats,Name,Ward,Subward,Subward_asset_id,asset_threat_category,Assets_per_ward_id,latitude,longitude,important_asset_at_risk_per_ward_ID,continued_from_asset_at_risk_id,Important_asset_not_at_risk_per_ward_ID,Evacuation_center_per_ward_ID,At_risk_but_not_important_ID
6,4825,Important asset and not at risk,Brookside Primary School,Saranga,Stopover,,,,-6.789155325,39.14826634,,,137,,
3402,4826,Important asset and not at risk,Godigodi Valley,Saranga,Stopover,,,,-6.789655053,39.16235251,,,138,,
3400,4827,Important asset and not at risk,Church,Saranga,Stopover,,,,-6.789824621,39.15732163,,,139,,
3407,4828,Important asset and not at risk,Calivary Church,Saranga,Stopover,,,,-6.790180212,39.14830722,,,140,,
3405,4829,Important asset and not at risk,Tanesco Lines,Saranga,Stopover,,,,-6.791024808,39.15822815,,,141,,
3404,4830,Important asset and not at risk,Karipius Catholic Church,Saranga,Stopover,,,,-6.791507502,39.16002539,,,142,,
3393,4831,Important asset and not at risk,Open Space,Saranga,Stopover,,,,-6.791826171,39.16090538,,,143,,
3408,4832,Important asset and not at risk,CCM Office,Saranga,Stopover,,,,-6.791869695,39.14989301,,,144,,
3399,4833,Important asset and not at risk,Wema Dispensary,Saranga,Stopover,,,,-6.792049702,39.14919981,,,145,,
5,4834,Important asset and not at risk,SDA Church,Saranga,Stopover,,,,-6.792685864,39.14947896,,,146,,
3392,4835,Important asset and not at risk,Police Station,Saranga,Stopover,,,,-6.797538174,39.15186223,,,147,,
3391,4836,Important asset and not at risk,Bwawani,Saranga,Stopover,,,,-6.79798469,39.15256672,,,148,,
3390,4837,Important asset and not at risk,Makofia Stendi,Saranga,Ukombozi,,,,-6.819329864,39.13634225,,,149,,
3389,4838,Important asset and not at risk,CCM Office,Saranga,Ukombozi,,,,-6.823891362,39.13758024,,,150,,
3381,4839,Important asset and not at risk,EAGT Church,Saranga,Ukombozi,,,,-6.824383911,39.14099055,,,151,,
3385,4840,Important asset and not at risk,Ukombozi Secondary School Area,Saranga,Ukombozi,,,,-6.824892331,39.13809659,,,152,,
3384,4841,Important asset and not at risk,Subward Office,Saranga,Ukombozi,,,,-6.826496421,39.1385029,,,153,,
3387,4842,Important asset and not at risk,Shukuru shoppes,Saranga,Ukombozi,,,,-6.826555675,39.13707234,,,154,,
3388,4843,Important asset and not at risk,Hardware Store,Saranga,Ukombozi,,,,-6.826864642,39.13625125,,,155,,
3386,4844,Important asset and not at risk,Adventists Of Sabbath Church,Saranga,Ukombozi,,,,-6.82726249,39.13680359,,,156,,
3382,4845,Important asset and not at risk,Nursery School,Saranga,Ukombozi,,,,-6.827447924,39.14092835,,,157,,
3383,4846,Important asset and not at risk,Mzee Mkasi shoppes,Saranga,Ukombozi,,,,-6.827562199,39.13850476,,,158,,
3351,4847,Important asset and not at risk,Mpemba Garage,Saranga,Upendo,,,,-6.79312552,39.13712922,,,159,,
3338,4848,Important asset and not at risk,Welding,Saranga,Upendo,,,,-6.793357853,39.13710651,,,160,,
3344,4849,Important asset and not at risk,TAG Kivamiro Church,Saranga,Upendo,,,,-6.793951136,39.1436173,,,161,,
3345,4850,Important asset and not at risk,Kambi Ya Wabrania Church,Saranga,Upendo,,,,-6.794349577,39.14520669,,,162,,
3337,4851,Important asset and not at risk,Saranga Road,Saranga,Upendo,,,,-6.79491659,39.13742614,,,163,,
3341,4852,Important asset and not at risk,Mother Mary Nursery And Primary School,Saranga,Upendo,,,,-6.795470467,39.14629255,,,164,,
3347,4853,Important asset and not at risk,Political Party Office,Saranga,Upendo,,,,-6.795649984,39.14340057,,,165,,
3348,4854,Important asset and not at risk,Nuru Mosque,Saranga,Upendo,,,,-6.796815753,39.14400151,,,166,,
3349,4855,Important asset and not at risk,Kwamasawe shoppe,Saranga,Upendo,,,,-6.796973378,39.13892139,,,167,,
3342,4856,Important asset and not at risk,AP School,Saranga,Upendo,,,,-6.79964753,39.13965916,,,168,,
3340,4857,Important asset and not at risk,St. David College,Saranga,Upendo,,,,-6.799684747,39.14100992,,,169,,
3339,4858,Important asset and not at risk,Nursery School,Saranga,Upendo,,,,-6.799973726,39.14011452,,,170,,
3350,4859,Important asset and not at risk,Makaburi,Saranga,Upendo,,,,-6.80029746,39.14100089,,,171,,
3343,4860,Important asset and not at risk,Driving School,Saranga,Upendo,,,,-6.800321815,39.13974673,,,172,,
3346,4861,Important asset and not at risk,St Rita Church,Saranga,Upendo,,,,-6.802686191,39.14152001,,,173,,
4832,4862,Important asset and at risk,Godown,Segerea,Machimbo,,,,-6.835068267,39.2044324,1,,,,
4831,4863,Important asset and at risk,Madrasat Ya Qadramat Rasoul,Segerea,Machimbo,,,,-6.836750478,39.19719403,2,,,,
4830,4864,Important asset and at risk,Golden New Generation,Segerea,Machimbo,,,,-6.84092272,39.19992858,3,,,,
4833,4865,Important asset and at risk,Masjid Rahman,Segerea,Migombani,,,,-6.84292606,39.18302352,4,,,,
4834,4866,Important asset and at risk,Migombani Secondary School,Segerea,Migombani,,,,-6.843629889,39.18430252,5,,,,
4835,4867,Important asset and at risk,Icegan Pentecostal Church,Segerea,Migombani,,,,-6.845711102,39.18480958,6,,,,
4836,4868,Important asset and at risk,Vegetable Garden,Segerea,Migombani,,,,-6.851190368,39.1814418,7,,,,
4838,4869,Important asset and at risk,Tototundu Open Space,Segerea,Segerea,,,,-6.843744446,39.18931071,8,,,,
4839,4870,Important asset and at risk,Subward Office Open Space,Segerea,Segerea,,,,-6.845142276,39.18745953,9,,,,
4837,4871,Important asset and at risk,Migomba Mosque,Segerea,Segerea,,,,-6.848535263,39.19212614,10,,,,
4841,4872,Important asset and at risk,Ugombolwa Secondary School,Segerea,Ugombolwa,,,,-6.833511031,39.18889209,11,,,,
4842,4873,Important asset and at risk,Maendeleo Primary School,Segerea,Ugombolwa,,,,-6.836412214,39.18959993,12,,,,
4840,4874,Important asset and at risk,Ugombolwa Dispensary,Segerea,Ugombolwa,,,,-6.837799674,39.19078657,13,,,,
3433,4875,Important asset and not at risk,Patmo Primary School,Segerea,Machimbo,,,,-6.835818476,39.19596502,,,1,,
3432,4876,Important asset and not at risk,Pub,Segerea,Machimbo,,,,-6.837370105,39.19631324,,,2,,
3431,4877,Important asset and not at risk,Amazon Pub,Segerea,Machimbo,,,,-6.837677358,39.19666658,,,3,,
3430,4878,Important asset and not at risk,Unique shoppe,Segerea,Machimbo,,,,-6.838465975,39.19699431,,,4,,
3435,4879,Important asset and not at risk,Segerea Prison,Segerea,Migombani,,,,-6.839803768,39.18057621,,,5,,
3434,4880,Important asset and not at risk,Seventh Day Adventist Church,Segerea,Migombani,,,,-6.840437592,39.18506784,,,6,,
3445,4881,Important asset and not at risk,Segerea Stand,Segerea,Migombani,,,,-6.843226469,39.18620534,,,7,,
3436,4882,Important asset and not at risk,Subward Office,Segerea,Migombani,,,,-6.843834226,39.18624751,,,8,,
3440,4883,Important asset and not at risk,Maximillian Secondary School,Segerea,Migombani,,,,-6.845128362,39.17911841,,,9,,
3439,4884,Important asset and not at risk,Maximilian Primary School,Segerea,Migombani,,,,-6.845998688,39.17914112,,,10,,
3437,4885,Important asset and not at risk,Rosehill guest House,Segerea,Migombani,,,,-6.847315528,39.18648212,,,11,,
3438,4886,Important asset and not at risk,Small Industry(Kiwanda Cha Wachina),Segerea,Migombani,,,,-6.847323096,39.1825089,,,12,,
3443,4887,Important asset and not at risk,Specialist  Doctor Clinic (Dr Bingwa),Segerea,Migombani,,,,-6.848337214,39.18751138,,,13,,
3441,4888,Important asset and not at risk,Fil Sabili Llahi Masjid,Segerea,Migombani,,,,-6.848412895,39.18097258,,,14,,
3442,4889,Important asset and not at risk,Gilgal Ministries,Segerea,Migombani,,,,-6.84982812,39.18267539,,,15,,
3444,4890,Important asset and not at risk,Nursery School,Segerea,Migombani,,,,-6.851387137,39.18458254,,,16,,
3464,4891,Important asset and not at risk,Segerea Dispensary,Segerea,Segerea,,,,-6.838462824,39.19393005,,,17,,
3463,4892,Important asset and not at risk,Kartas Nursery School,Segerea,Segerea,,,,-6.839680666,39.19560267,,,18,,
3451,4893,Important asset and not at risk,Cemetery,Segerea,Segerea,,,,-6.840077685,39.19470705,,,19,,
3450,4894,Important asset and not at risk,Umbwelani Mosque,Segerea,Segerea,,,,-6.840480159,39.19448232,,,20,,
3461,4895,Important asset and not at risk,Genius Kings Primary School,Segerea,Segerea,,,,-6.840883932,39.19152347,,,21,,
3458,4896,Important asset and not at risk,Tusiime Secondary School,Segerea,Segerea,,,,-6.843142399,39.20029245,,,22,,
3479,4897,Important asset and not at risk,Bibarock guest House,Segerea,Segerea,,,,-6.84314476,39.19172222,,,23,,
3481,4898,Important asset and not at risk,Fiji guest House,Segerea,Segerea,,,,-6.843243639,39.19619789,,,24,,
3467,4899,Important asset and not at risk,Huruma Dispensary,Segerea,Segerea,,,,-6.843488807,39.19170197,,,25,,
3477,4900,Important asset and not at risk,Groso Pub & guest House,Segerea,Segerea,,,,-6.843812659,39.19015742,,,26,,
3471,4901,Important asset and not at risk,Godown,Segerea,Segerea,,,,-6.84397427,39.19987471,,,27,,
3487,4902,Important asset and not at risk,Camel Petrol Station,Segerea,Segerea,,,,-6.844018723,39.20110604,,,28,,
3486,4903,Important asset and not at risk,Lake Oil Petrol Station,Segerea,Segerea,,,,-6.844021821,39.19837213,,,29,,
3469,4904,Important asset and not at risk,Menonite Hospital,Segerea,Segerea,,,,-6.844131341,39.19071403,,,30,,
3475,4905,Important asset and not at risk,Halisi Welding Wworkshoppe,Segerea,Segerea,,,,-6.844498456,39.19129569,,,31,,
3480,4906,Important asset and not at risk,Gugulesi guest House,Segerea,Segerea,,,,-6.844499214,39.19340689,,,32,,
3465,4907,Important asset and not at risk,Arafa Dispensary,Segerea,Segerea,,,,-6.844540111,39.19725072,,,33,,
3468,4908,Important asset and not at risk,Nightngare Hospital,Segerea,Segerea,,,,-6.8445748,39.19232189,,,34,,
3476,4909,Important asset and not at risk,Akeri guest House,Segerea,Segerea,,,,-6.844610219,39.18680207,,,35,,
3455,4910,Important asset and not at risk,TAG Curch,Segerea,Segerea,,,,-6.844922201,39.19626328,,,36,,
